BELNR,BUKRS,GJAHR,BUZEI,KUNNR,BLART,BLDAT,BUDAT,FAEDT,AUGDT,DMBTR,WAERS,SHKZG,ZTERM
1800000096,1000,2022,001,C000184,DR,2022-10-29,2022-10-29,2022-11-28,2022-12-27,88559.9,USD,S,NT30
1800000097,1000,2022,001,C000027,DR,2022-05-25,2022-05-25,2022-06-08,2022-06-03,144901.71,USD,S,NT14
1800000098,1000,2023,001,C000118,DR,2023-10-25,2023-10-25,2023-12-09,2023-12-10,53971.96,USD,S,NT45
1800000099,1000,2023,001,C000045,DR,2023-08-23,2023-08-23,2023-11-21,2024-01-05,56836.97,USD,S,NT90
1800000100,1000,2021,001,C000165,DR,2021-09-20,2021-09-20,2021-11-19,2021-11-21,27946.38,USD,S,NT60
1800000101,1000,2021,001,C000168,DR,2021-04-11,2021-04-11,2021-06-10,2021-06-09,211497.98,USD,S,NT60
1800000102,1000,2024,001,C000186,DR,2024-05-09,2024-05-09,2024-05-23,2024-06-05,92522.7,USD,S,NT14
1800000103,1000,2023,001,C000070,DR,2023-06-10,2023-06-10,2023-09-08,2023-09-10,190888.8,USD,S,NT90
1800000104,1000,2023,001,C000096,DR,2023-08-05,2023-08-05,2023-11-03,2023-11-04,143950.9,USD,S,NT90
1800000105,1000,2022,001,C000179,DR,2022-06-23,2022-06-23,2022-08-07,2022-08-09,201998.12,USD,S,NT45
1800000106,1000,2022,001,C000123,DR,2022-05-03,2022-05-03,2022-08-01,2022-08-07,211443.64,USD,S,NT90
1800000107,1000,2021,001,C000069,DR,2021-06-21,2021-06-21,2021-08-05,2021-08-08,243662.1,USD,S,NT45
1800000108,1000,2024,001,C000026,DR,2024-05-26,2024-05-26,2024-07-10,2024-07-10,204788.29,USD,S,NT45
1800000109,1000,2021,001,C000076,DR,2021-08-03,2021-08-03,2021-09-17,2021-10-11,153779.75,USD,S,NT45
1800000110,1000,2024,001,C000199,DR,2024-02-03,2024-02-03,2024-02-17,2024-03-17,7537.2,USD,S,NT14
1800000111,1000,2021,001,C000185,DR,2021-06-05,2021-06-05,2021-07-05,2021-07-20,232341.99,USD,S,NT30
1800000112,1000,2023,001,C000029,DR,2023-01-21,2023-01-21,2023-03-07,2023-03-06,207535.74,USD,S,NT45
1800000113,1000,2021,001,C000008,DR,2021-05-14,2021-05-14,2021-07-13,2021-07-14,67594.48,USD,S,NT60
1800000114,1000,2022,001,C000061,DR,2022-09-18,2022-09-18,2022-10-18,2022-10-20,45923.6,USD,S,NT30
1800000115,1000,2023,001,C000006,DR,2023-06-14,2023-06-14,2023-07-29,2023-08-01,175971.99,USD,S,NT45
1800000116,1000,2023,001,C000069,DR,2023-06-21,2023-06-21,2023-08-05,2023-08-12,77937.19,USD,S,NT45
1800000117,1000,2024,001,C000111,DR,2024-01-26,2024-01-26,2024-02-09,2024-02-21,85616.34,USD,S,NT14
1800000118,1000,2023,001,C000009,DR,2023-04-21,2023-04-21,2023-06-05,2023-06-08,2520.34,USD,S,NT45
1800000119,1000,2023,001,C000072,DR,2023-05-03,2023-05-03,2023-06-17,2023-06-20,217595.81,USD,S,NT45
1800000120,1000,2022,001,C000045,DR,2022-10-08,2022-10-08,2023-01-06,2023-02-06,100795.3,USD,S,NT90
1800000121,1000,2023,001,C000144,DR,2023-09-29,2023-09-29,2023-11-28,2023-12-04,36326.79,USD,S,NT60
1800000122,1000,2022,001,C000197,DR,2022-11-16,2022-11-16,2022-12-16,2023-01-14,8633.62,USD,S,NT30
1800000123,1000,2022,001,C000044,DR,2022-10-12,2022-10-12,2023-01-10,2023-02-04,54568.09,USD,S,NT90
1800000124,1000,2022,001,C000147,DR,2022-03-26,2022-03-26,2022-05-10,2022-05-17,105538.29,USD,S,NT45
1800000125,1000,2022,001,C000141,DR,2022-02-15,2022-02-15,2022-05-16,2022-05-25,85883.1,USD,S,NT90
1800000126,1000,2022,001,C000099,DR,2022-02-20,2022-02-20,2022-04-06,2022-04-12,93143.22,USD,S,NT45
1800000127,1000,2022,001,C000069,DR,2022-10-01,2022-10-01,2022-11-15,2022-11-17,180677.4,USD,S,NT45
1800000128,1000,2022,001,C000127,DR,2022-10-03,2022-10-03,2023-01-01,2023-01-07,194432.07,USD,S,NT90
1800000129,1000,2022,001,C000089,DR,2022-05-15,2022-05-15,2022-07-14,2022-07-30,142330.8,USD,S,NT60
1800000130,1000,2023,001,C000005,DR,2023-04-17,2023-04-17,2023-05-01,2023-05-10,22154.3,USD,S,NT14
1800000131,1000,2021,001,C000115,DR,2021-02-17,2021-02-17,2021-05-18,2021-06-04,14099.6,USD,S,NT90
1800000132,1000,2024,001,C000157,DR,2024-03-13,2024-03-13,2024-04-12,2024-04-14,40195.06,USD,S,NT30
1800000133,1000,2022,001,C000045,DR,2022-05-21,2022-05-21,2022-08-19,2022-10-05,168818.21,USD,S,NT90
1800000134,1000,2021,001,C000093,DR,2021-05-02,2021-05-02,2021-06-01,2021-06-02,68753.61,USD,S,NT30
1800000135,1000,2023,001,C000028,DR,2023-01-22,2023-01-22,2023-04-22,2023-06-02,121929.76,USD,S,NT90
1800000136,1000,2022,001,C000153,DR,2022-01-04,2022-01-04,2022-03-05,2022-03-08,111069.0,USD,S,NT60
1800000137,1000,2021,001,C000160,DR,2021-01-12,2021-01-12,2021-04-12,2021-04-14,69018.54,USD,S,NT90
1800000138,1000,2021,001,C000153,DR,2021-07-30,2021-07-30,2021-09-28,2021-09-29,188980.84,USD,S,NT60
1800000139,1000,2021,001,C000186,DR,2021-12-15,2021-12-15,2021-12-29,2022-01-08,29340.56,USD,S,NT14
1800000140,1000,2022,001,C000200,DR,2022-11-16,2022-11-16,2022-12-31,2023-01-04,108048.49,USD,S,NT45
1800000141,1000,2022,001,C000138,DR,2022-06-26,2022-06-26,2022-07-26,2022-07-27,71528.37,USD,S,NT30
1800000142,1000,2022,001,C000006,DR,2022-01-23,2022-01-23,2022-03-09,2022-03-10,169943.08,USD,S,NT45
1800000143,1000,2024,001,C000020,DR,2024-04-07,2024-04-07,2024-04-21,2024-04-16,122171.56,USD,S,NT14
1800000144,1000,2022,001,C000011,DR,2022-04-16,2022-04-16,2022-05-31,2022-05-31,167116.01,USD,S,NT45
1800000145,1000,2024,001,C000197,DR,2024-04-20,2024-04-20,2024-05-20,2024-06-04,99420.59,USD,S,NT30
1800000146,1000,2022,001,C000185,DR,2022-05-25,2022-05-25,2022-06-24,2022-07-06,150231.91,USD,S,NT30
1800000147,1000,2021,001,C000038,DR,2021-12-15,2021-12-15,2022-02-13,2022-02-18,2914.08,USD,S,NT60
1800000148,1000,2023,001,C000138,DR,2023-04-04,2023-04-04,2023-05-04,2023-05-10,76053.42,USD,S,NT30
1800000149,1000,2021,001,C000133,DR,2021-07-22,2021-07-22,2021-08-21,2021-08-26,53597.26,USD,S,NT30
1800000150,1000,2021,001,C000148,DR,2021-09-04,2021-09-04,2021-10-19,2021-11-03,35171.47,USD,S,NT45
1800000151,1000,2021,001,C000155,DR,2021-03-10,2021-03-10,2021-05-09,2021-06-14,82702.47,USD,S,NT60
1800000152,1000,2023,001,C000095,DR,2023-08-01,2023-08-01,2023-08-31,2023-08-30,2924.75,USD,S,NT30
1800000153,1000,2022,001,C000076,DR,2022-05-10,2022-05-10,2022-06-24,2022-07-01,187006.52,USD,S,NT45
1800000154,1000,2021,001,C000007,DR,2021-07-26,2021-07-26,2021-10-24,2021-10-24,44748.01,USD,S,NT90
1800000155,1000,2021,001,C000088,DR,2021-03-28,2021-03-28,2021-04-27,2021-04-25,95671.65,USD,S,NT30
1800000156,1000,2021,001,C000154,DR,2021-06-15,2021-06-15,2021-08-14,2021-08-24,176214.14,USD,S,NT60
1800000157,1000,2021,001,C000135,DR,2021-09-27,2021-09-27,2021-12-26,2021-12-29,125565.32,USD,S,NT90
1800000158,1000,2023,001,C000120,DR,2023-01-13,2023-01-13,2023-02-12,2023-02-16,208505.2,USD,S,NT30
1800000159,1000,2021,001,C000055,DR,2021-06-12,2021-06-12,2021-09-10,2021-10-16,201743.85,USD,S,NT90
1800000160,1000,2023,001,C000119,DR,2023-01-31,2023-01-31,2023-03-17,2023-03-20,18946.8,USD,S,NT45
1800000161,1000,2022,001,C000101,DR,2022-01-30,2022-01-30,2022-02-13,2022-02-23,215579.33,USD,S,NT14
1800000162,1000,2021,001,C000180,DR,2021-04-28,2021-04-28,2021-06-27,2021-07-20,11533.26,USD,S,NT60
1800000163,1000,2022,001,C000085,DR,2022-02-06,2022-02-06,2022-04-07,2022-04-18,5666.64,USD,S,NT60
1800000164,1000,2022,001,C000029,DR,2022-01-05,2022-01-05,2022-02-19,2022-02-22,230369.45,USD,S,NT45
1800000165,1000,2021,001,C000136,DR,2021-11-24,2021-11-24,2022-01-23,2022-02-03,215665.39,USD,S,NT60
1800000166,1000,2021,001,C000195,DR,2021-08-30,2021-08-30,2021-10-29,2021-11-05,144364.03,USD,S,NT60
1800000167,1000,2022,001,C000116,DR,2022-02-17,2022-02-17,2022-04-03,2022-04-09,143776.52,USD,S,NT45
1800000168,1000,2022,001,C000100,DR,2022-08-22,2022-08-22,2022-11-20,2022-12-23,105005.8,USD,S,NT90
1800000169,1000,2022,001,C000099,DR,2022-06-24,2022-06-24,2022-08-08,2022-08-10,29678.17,USD,S,NT45
1800000170,1000,2021,001,C000096,DR,2021-01-08,2021-01-08,2021-04-08,2021-04-09,6193.28,USD,S,NT90
1800000171,1000,2023,001,C000029,DR,2023-03-08,2023-03-08,2023-04-22,2023-04-24,81867.28,USD,S,NT45
1800000172,1000,2023,001,C000049,DR,2023-11-30,2023-11-30,2024-01-29,2024-01-28,200529.22,USD,S,NT60
1800000173,1000,2021,001,C000094,DR,2021-05-31,2021-05-31,2021-06-14,2021-06-22,154913.19,USD,S,NT14
1800000174,1000,2024,001,C000153,DR,2024-06-08,2024-06-08,2024-08-07,2024-08-10,208174.45,USD,S,NT60
1800000175,1000,2021,001,C000010,DR,2021-02-24,2021-02-24,2021-04-10,2021-05-02,230022.67,USD,S,NT45
1800000176,1000,2021,001,C000170,DR,2021-02-09,2021-02-09,2021-02-23,2021-03-02,22944.34,USD,S,NT14
1800000177,1000,2021,001,C000148,DR,2021-08-02,2021-08-02,2021-09-16,2021-09-17,211276.61,USD,S,NT45
1800000178,1000,2023,001,C000052,DR,2023-04-16,2023-04-16,2023-04-30,2023-06-15,147628.95,USD,S,NT14
1800000179,1000,2022,001,C000101,DR,2022-01-18,2022-01-18,2022-02-01,2022-02-01,131466.67,USD,S,NT14
1800000180,1000,2022,001,C000067,DR,2022-06-23,2022-06-23,2022-07-07,2022-07-09,99545.91,USD,S,NT14
1800000181,1000,2021,001,C000109,DR,2021-11-25,2021-11-25,2022-02-23,2022-04-14,85538.81,USD,S,NT90
1800000182,1000,2021,001,C000008,DR,2021-04-16,2021-04-16,2021-06-15,2021-06-10,83934.09,USD,S,NT60
1800000183,1000,2023,001,C000164,DR,2023-08-28,2023-08-28,2023-10-27,2023-10-26,42865.04,USD,S,NT60
1800000184,1000,2023,001,C000046,DR,2023-01-19,2023-01-19,2023-03-20,2023-03-17,128110.34,USD,S,NT60
1800000185,1000,2023,001,C000016,DR,2023-08-01,2023-08-01,2023-09-30,2023-09-28,29392.63,USD,S,NT60
1800000186,1000,2023,001,C000174,DR,2023-08-09,2023-08-09,2023-09-23,2023-09-23,127978.06,USD,S,NT45
1800000187,1000,2022,001,C000099,DR,2022-06-25,2022-06-25,2022-08-09,2022-08-13,226574.76,USD,S,NT45
1800000188,1000,2022,001,C000022,DR,2022-07-31,2022-07-31,2022-09-14,2022-09-29,182117.4,USD,S,NT45
1800000189,1000,2023,001,C000177,DR,2023-09-26,2023-09-26,2023-12-25,2023-12-25,204918.2,USD,S,NT90
1800000190,1000,2023,001,C000100,DR,2023-04-23,2023-04-23,2023-07-22,2023-08-10,59830.94,USD,S,NT90
1800000191,1000,2023,001,C000106,DR,2023-02-09,2023-02-09,2023-03-11,2023-03-27,37464.61,USD,S,NT30
1800000192,1000,2023,001,C000106,DR,2023-06-20,2023-06-20,2023-07-20,2023-08-09,50120.68,USD,S,NT30
1800000193,1000,2021,001,C000025,DR,2021-05-23,2021-05-23,2021-08-21,2021-08-31,150997.35,USD,S,NT90
1800000194,1000,2022,001,C000029,DR,2022-11-05,2022-11-05,2022-12-20,2022-12-26,190293.61,USD,S,NT45
1800000195,1000,2024,001,C000086,DR,2024-06-15,2024-06-15,2024-06-29,2024-06-29,164221.74,USD,S,NT14
1800000196,1000,2022,001,C000109,DR,2022-02-18,2022-02-18,2022-05-19,2022-06-23,193439.17,USD,S,NT90
1800000197,1000,2024,001,C000123,DR,2024-04-22,2024-04-22,2024-07-21,2024-07-21,124035.14,USD,S,NT90
1800000198,1000,2022,001,C000143,DR,2022-09-20,2022-09-20,2022-12-19,2022-12-23,188857.01,USD,S,NT90
1800000199,1000,2021,001,C000149,DR,2021-05-28,2021-05-28,2021-06-11,2021-06-11,190209.41,USD,S,NT14
1800000200,1000,2022,001,C000184,DR,2022-07-09,2022-07-09,2022-08-08,2022-09-15,231114.41,USD,S,NT30
1800000201,1000,2021,001,C000087,DR,2021-05-24,2021-05-24,2021-07-23,2021-07-23,141558.45,USD,S,NT60
1800000202,1000,2024,001,C000176,DR,2024-03-12,2024-03-12,2024-03-26,2024-03-26,159189.28,USD,S,NT14
1800000203,1000,2023,001,C000082,DR,2023-06-04,2023-06-04,2023-06-18,2023-07-07,156505.92,USD,S,NT14
1800000204,1000,2023,001,C000020,DR,2023-06-30,2023-06-30,2023-07-14,2023-07-16,216197.47,USD,S,NT14
1800000205,1000,2023,001,C000195,DR,2023-07-27,2023-07-27,2023-09-25,2023-09-20,157177.13,USD,S,NT60
1800000206,1000,2023,001,C000185,DR,2023-10-28,2023-10-28,2023-11-27,2023-12-06,38588.39,USD,S,NT30
1800000207,1000,2021,001,C000100,DR,2021-03-22,2021-03-22,2021-06-20,2021-07-12,111109.81,USD,S,NT90
1800000208,1000,2021,001,C000022,DR,2021-11-23,2021-11-23,2022-01-07,2022-02-05,69393.74,USD,S,NT45
1800000209,1000,2022,001,C000164,DR,2022-10-17,2022-10-17,2022-12-16,2022-12-17,14986.86,USD,S,NT60
1800000210,1000,2022,001,C000146,DR,2022-05-30,2022-05-30,2022-06-29,2022-06-29,127326.88,USD,S,NT30
1800000211,1000,2023,001,C000044,DR,2023-01-06,2023-01-06,2023-04-06,2023-05-12,113526.55,USD,S,NT90
1800000212,1000,2024,001,C000098,DR,2024-01-16,2024-01-16,2024-02-15,2024-02-15,15165.62,USD,S,NT30
1800000213,1000,2021,001,C000147,DR,2021-09-06,2021-09-06,2021-10-21,2021-11-05,208092.46,USD,S,NT45
1800000214,1000,2022,001,C000132,DR,2022-12-12,2022-12-12,2022-12-26,2022-12-24,20106.02,USD,S,NT14
1800000215,1000,2021,001,C000089,DR,2021-02-21,2021-02-21,2021-04-22,2021-05-09,216198.26,USD,S,NT60
1800000216,1000,2021,001,C000104,DR,2021-12-12,2021-12-12,2021-12-26,2022-01-12,213968.05,USD,S,NT14
1800000217,1000,2022,001,C000168,DR,2022-06-14,2022-06-14,2022-08-13,2022-08-15,154137.09,USD,S,NT60
1800000218,1000,2021,001,C000179,DR,2021-05-27,2021-05-27,2021-07-11,2021-07-13,127259.89,USD,S,NT45
1800000219,1000,2023,001,C000035,DR,2023-02-28,2023-02-28,2023-05-29,2023-05-31,116215.2,USD,S,NT90
1800000220,1000,2023,001,C000060,DR,2023-03-03,2023-03-03,2023-05-02,2023-05-07,139024.78,USD,S,NT60
1800000221,1000,2023,001,C000053,DR,2023-09-12,2023-09-12,2023-10-27,2023-10-28,198162.63,USD,S,NT45
1800000222,1000,2023,001,C000165,DR,2023-05-15,2023-05-15,2023-07-14,2023-07-17,224073.31,USD,S,NT60
